Município;Dose;Total Doses Aplicadas
PRESIDENTE EPITÁCIO;1° DOSE;35010
PRESIDENTE BERNARDES;1° DOSE;14324
PRESIDENTE ALVES;1° DOSE;3659
PRATÂNIA;1° DOSE;5200
PRAIA GRANDE;1° DOSE;314228
PRADÓPOLIS;1° DOSE;16323
PRACINHA;1° DOSE;2945
POTIRENDABA;1° DOSE;15948
POTIM;1° DOSE;20636
PORTO FERREIRA;1° DOSE;49112
PORTO FELIZ;1° DOSE;49422
PORANGABA;1° DOSE;8807
POPULINA;1° DOSE;3996
PONTES GESTAL;1° DOSE;2340
PONTALINDA;1° DOSE;3703
PONTAL;1° DOSE;35682
PONGAÍ;1° DOSE;3192
POMPÉIA;1° DOSE;18827
POLONI;1° DOSE;5544
POÁ;1° DOSE;102692
PLATINA;1° DOSE;2949
PLANALTO;1° DOSE;4163
PITANGUEIRAS;1° DOSE;31013
PIRATININGA;1° DOSE;13150
PIRASSUNUNGA;1° DOSE;65896
PIRAPOZINHO;1° DOSE;22913
PIRAPORA DO BOM JESUS;1° DOSE;17637
PIRANGI;1° DOSE;9883
PIRAJUÍ;1° DOSE;20601
PIRAJU;1° DOSE;27778
PIRACICABA;1° DOSE;370307
PIRACAIA;1° DOSE;26308
PIQUETE;1° DOSE;11668
PIQUEROBI;1° DOSE;3060
PINHALZINHO;1° DOSE;13955
PINDORAMA;1° DOSE;13228
PINDAMONHANGABA;1° DOSE;146266
PILAR DO SUL;1° DOSE;26562
PIEDADE;1° DOSE;50498
PIACATU;1° DOSE;5045
PERUÍBE;1° DOSE;69215
PEREIRAS;1° DOSE;7491
PEREIRA BARRETO;1° DOSE;22526
PENÁPOLIS;1° DOSE;55187
PEDRO DE TOLEDO;1° DOSE;9246
PEDRINHAS PAULISTA;1° DOSE;2719
PEDREIRA;1° DOSE;41032
PEDREGULHO;1° DOSE;15178
PEDRANÓPOLIS;1° DOSE;2609
PEDRA BELA;1° DOSE;6043
PEDERNEIRAS;1° DOSE;40015
PAULO DE FARIA;1° DOSE;7859
PAULISTÂNIA;1° DOSE;1873
PAULÍNIA;1° DOSE;96085
PAULICÉIA;1° DOSE;6815
PATROCÍNIO PAULISTA;1° DOSE;13386
PARISI;1° DOSE;2439
PARIQUERA-AÇU;1° DOSE;18273
PARDINHO;1° DOSE;6677
PARAPUÃ;1° DOSE;9560
PARANAPUÃ;1° DOSE;3859
PARANAPANEMA;1° DOSE;18039
PARAÍSO;1° DOSE;5308
PARAIBUNA;1° DOSE;16103
PARAGUAÇU PAULISTA;1° DOSE;38441
PANORAMA;1° DOSE;13205
PALMITAL;1° DOSE;19484
PALMEIRA D'OESTE;1° DOSE;8390
PALMARES PAULISTA;1° DOSE;8576
PALESTINA;1° DOSE;10250
PACAEMBU;1° DOSE;14478
OUROESTE;1° DOSE;9507
OURO VERDE;1° DOSE;7016
OURINHOS;1° DOSE;95824
OSVALDO CRUZ;1° DOSE;28928
OSCAR BRESSANE;1° DOSE;2374
OSASCO;1° DOSE;681732
ORLÂNDIA;1° DOSE;34807
ORINDIÚVA;1° DOSE;5650
ORIENTE;1° DOSE;5727
ONDA VERDE;1° DOSE;4364
OLÍMPIA;1° DOSE;51654
ÓLEO;1° DOSE;2665
OCAUÇU;1° DOSE;3990
NUPORANGA;1° DOSE;6817
NOVO HORIZONTE;1° DOSE;35154
NOVAIS;1° DOSE;4028
NOVA ODESSA;1° DOSE;51163
NOVA LUZITÂNIA;1° DOSE;2726
NOVA INDEPENDÊNCIA;1° DOSE;4996
NOVA GUATAPORANGA;1° DOSE;2079
NOVA GRANADA;1° DOSE;18041
NOVA EUROPA;1° DOSE;8666
NOVA CASTILHO;1° DOSE;1041
NOVA CANAÃ PAULISTA;1° DOSE;1835
NOVA CAMPINA;1° DOSE;8221
NOVA ALIANÇA;1° DOSE;6418
NIPOÃ;1° DOSE;4531
NHANDEARA;1° DOSE;9331
NEVES PAULISTA;1° DOSE;8661
NAZARÉ PAULISTA;1° DOSE;16902
NATIVIDADE DA SERRA;1° DOSE;6453
NARANDIBA;1° DOSE;4968
NÃO INFORMADO;1° DOSE;134902
NANTES;1° DOSE;2542
MURUTINGA DO SUL;1° DOSE;3560
MOTUCA;1° DOSE;3852
MORUNGABA;1° DOSE;13119
MORRO AGUDO;1° DOSE;25595
MONTEIRO LOBATO;1° DOSE;4157
MONTE MOR;1° DOSE;58602
MONTE CASTELO;1° DOSE;3682
MONTE AZUL PAULISTA;1° DOSE;16755
MONTE APRAZÍVEL;1° DOSE;20266
MONTE ALTO;1° DOSE;43813
MONTE ALEGRE DO SUL;1° DOSE;7137
MONGAGUÁ;1° DOSE;56191
MONÇÕES;1° DOSE;1922
MOMBUCA;1° DOSE;3533
MOGI MIRIM;1° DOSE;85347
MOGI GUAÇU;1° DOSE;133767
MOGI DAS CRUZES;1° DOSE;388070
MOCOCA;1° DOSE;63957
MIRASSOLÂNDIA;1° DOSE;4684
MIRASSOL;1° DOSE;54416
MIRANTE DO PARANAPANEMA;1° DOSE;14923
MIRANDÓPOLIS;1° DOSE;26102
MIRACATU;1° DOSE;18054
MIRA ESTRELA;1° DOSE;2772
MINEIROS DO TIETÊ;1° DOSE;10511
MIGUELÓPOLIS;1° DOSE;18109
MESÓPOLIS;1° DOSE;1984
MERIDIANO;1° DOSE;3917
MENDONÇA;1° DOSE;5755
MAUÁ;1° DOSE;369257
MATÃO;1° DOSE;75791
MARTINÓPOLIS;1° DOSE;23647
MARINÓPOLIS;1° DOSE;1771
MARÍLIA;1° DOSE;215624
MARIÁPOLIS;1° DOSE;3226
MARAPOAMA;1° DOSE;2910
MARACAÍ;1° DOSE;11955
MARABÁ PAULISTA;1° DOSE;4725
MANDURI;1° DOSE;9060
MAIRIPORÃ;1° DOSE;83237
MAIRINQUE;1° DOSE;50041
MAGDA;1° DOSE;2921
MACEDÔNIA;1° DOSE;3571
MACAUBAL;1° DOSE;6911
MACATUBA;1° DOSE;14612
LUTÉCIA;1° DOSE;2464
LUPÉRCIO;1° DOSE;3824
LUIZIÂNIA;1° DOSE;4538
LUÍS ANTÔNIO;1° DOSE;11419
LUCIANÓPOLIS;1° DOSE;2401
LUCÉLIA;1° DOSE;18510
LOUVEIRA;1° DOSE;46388
LOURDES;1° DOSE;2066
LORENA;1° DOSE;76287
LINS;1° DOSE;68481
LINDÓIA;1° DOSE;6503
LIMEIRA;1° DOSE;261506
LENÇÓIS PAULISTA;1° DOSE;59910
LEME;1° DOSE;89403
LAVRINHAS;1° DOSE;5741
LAVÍNIA;1° DOSE;10539
LARANJAL PAULISTA;1° DOSE;26382
LAGOINHA;1° DOSE;5091
JUQUITIBA;1° DOSE;29076
JUQUIÁ;1° DOSE;16187
JUNQUEIRÓPOLIS;1° DOSE;18748
JUNDIAÍ;1° DOSE;391471
JUMIRIM;1° DOSE;3258
JÚLIO MESQUITA;1° DOSE;4045
JOSÉ BONIFÁCIO;1° DOSE;32748
JOÃO RAMALHO;1° DOSE;3974
JOANÓPOLIS;1° DOSE;12459
JERIQUARA;1° DOSE;3337
JAÚ;1° DOSE;119863
JARINU;1° DOSE;32339
JARDINÓPOLIS;1° DOSE;40565
JANDIRA;1° DOSE;105290
JAMBEIRO;1° DOSE;5335
JALES;1° DOSE;44518
JAGUARIÚNA;1° DOSE;54024
JACUPIRANGA;1° DOSE;14504
JACI;1° DOSE;7041
JACAREÍ;1° DOSE;208445
JABOTICABAL;1° DOSE;66763
JABORANDI;1° DOSE;5639
ITUVERAVA;1° DOSE;34313
ITUPEVA;1° DOSE;60063
ITU;1° DOSE;162034
ITOBI;1° DOSE;7105
ITIRAPUÃ;1° DOSE;5652
ITIRAPINA;1° DOSE;15686
ITATINGA;1° DOSE;17579
ITATIBA;1° DOSE;105862
ITARIRI;1° DOSE;13313
ITARARÉ;1° DOSE;41272
ITAQUAQUECETUBA;1° DOSE;320661
ITAPURA;1° DOSE;3744
ITAPUÍ;1° DOSE;12075
ITAPORANGA;1° DOSE;13444
ITÁPOLIS;1° DOSE;36166
ITAPIRAPUÃ PAULISTA;1° DOSE;4049
ITAPIRA;1° DOSE;66964
ITAPEVI;1° DOSE;219518
ITAPEVA;1° DOSE;85850
ITAPETININGA;1° DOSE;145018
ITAPECERICA DA SERRA;1° DOSE;146937
ITAOCA;1° DOSE;3264
ITANHAÉM;1° DOSE;104685
ITAJU;1° DOSE;3265
ITAJOBI;1° DOSE;14865
ITAÍ;1° DOSE;24480
ITABERÁ;1° DOSE;16836
IRAPURU;1° DOSE;7293
IRAPUÃ;1° DOSE;6445
IRACEMÁPOLIS;1° DOSE;19741
IPUÃ;1° DOSE;13449
IPORANGA;1° DOSE;3591
IPIGUÁ;1° DOSE;5458
IPEÚNA;1° DOSE;5924
IPERÓ;1° DOSE;29894
IPAUSSU;1° DOSE;12200
INÚBIA PAULISTA;1° DOSE;3332
INDIAPORÃ;1° DOSE;3780
INDIANA;1° DOSE;4434
INDAIATUBA;1° DOSE;235025
ILHABELA;1° DOSE;35714
ILHA SOLTEIRA;1° DOSE;24037
ILHA COMPRIDA;1° DOSE;12533
IGUAPE;1° DOSE;27145
IGARATÁ;1° DOSE;10191
IGARAPAVA;1° DOSE;24126
IGARAÇU DO TIETÊ;1° DOSE;20910
IEPÊ;1° DOSE;7108
ICÉM;1° DOSE;7023
IBIÚNA;1° DOSE;73223
IBITINGA;1° DOSE;52752
IBIRAREMA;1° DOSE;6000
IBIRÁ;1° DOSE;10859
IBATÉ;1° DOSE;30505
IARAS;1° DOSE;8120
IACRI;1° DOSE;5740
IACANGA;1° DOSE;9919
HORTOLÂNDIA;1° DOSE;206373
HOLAMBRA;1° DOSE;14933
HERCULÂNDIA;1° DOSE;7818
GUZOLÂNDIA;1° DOSE;4162
GUATAPARÁ;1° DOSE;6929
GUARULHOS;1° DOSE;1181062
GUARUJÁ;1° DOSE;283785
GUARIBA;1° DOSE;34657
GUAREÍ;1° DOSE;14477
GUARATINGUETÁ;1° DOSE;106201
GUARAREMA;1° DOSE;29570
GUARARAPES;1° DOSE;28184
GUARANTÃ;1° DOSE;5691
GUARANI D'OESTE;1° DOSE;1906
GUARACI;1° DOSE;9392
GUARAÇAÍ;1° DOSE;6917
GUARÁ;1° DOSE;17473
GUAPIARA;1° DOSE;16319
GUAPIAÇU;1° DOSE;19444
GUAÍRA;1° DOSE;36600
GUAIMBÊ;1° DOSE;4944
GUAIÇARA;1° DOSE;10443
GLICÉRIO;1° DOSE;3999
GETULINA;1° DOSE;9753
GENERAL SALGADO;1° DOSE;9385
GAVIÃO PEIXOTO;1° DOSE;4430
GASTÃO VIDIGAL;1° DOSE;3183
GARÇA;1° DOSE;38474
GÁLIA;1° DOSE;6108
GABRIEL MONTEIRO;1° DOSE;2571
FRANCO DA ROCHA;1° DOSE;140737
FRANCISCO MORATO;1° DOSE;157305
FRANCA;1° DOSE;312162
FLORÍNEA;1° DOSE;4300
FLÓRIDA PAULISTA;1° DOSE;10973
FLOREAL;1° DOSE;2676
FLORA RICA;1° DOSE;1412
FERRAZ DE VASCONCELOS;1° DOSE;149519
FERNÃO;1° DOSE;1619
FERNANDÓPOLIS;1° DOSE;65468
FERNANDO PRESTES;1° DOSE;5420
FARTURA;1° DOSE;14814
EUCLIDES DA CUNHA PAULISTA;1° DOSE;7299
ESTRELA DO NORTE;1° DOSE;2534
ESTRELA D'OESTE;1° DOSE;8081
ESTIVA GERBI;1° DOSE;9981
ESPÍRITO SANTO DO TURVO;1° DOSE;4486
ESPÍRITO SANTO DO PINHAL;1° DOSE;38381
ENGENHEIRO COELHO;1° DOSE;17938
EMILIANÓPOLIS;1° DOSE;2783
EMBU-GUAÇU;1° DOSE;59075
EMBU DAS ARTES;1° DOSE;235598
EMBAÚBA;1° DOSE;2039
ELISIÁRIO;1° DOSE;2893
ELIAS FAUSTO;1° DOSE;16061
ELDORADO;1° DOSE;12453
ECHAPORÃ;1° DOSE;5891
DUMONT;1° DOSE;9225
DUARTINA;1° DOSE;11648
DRACENA;1° DOSE;41357
DOURADO;1° DOSE;8130
DOLCINÓPOLIS;1° DOSE;2263
DOIS CÓRREGOS;1° DOSE;22676
DOBRADA;1° DOSE;7781
DIVINOLÂNDIA;1° DOSE;11257
DIRCE REIS;1° DOSE;1603
DIADEMA;1° DOSE;375194
DESCALVADO;1° DOSE;29990
CUNHA;1° DOSE;19878
CUBATÃO;1° DOSE;101043
CRUZEIRO;1° DOSE;71284
CRUZÁLIA;1° DOSE;1964
CRISTAIS PAULISTA;1° DOSE;8140
CRAVINHOS;1° DOSE;31505
COTIA;1° DOSE;224142
COSMORAMA;1° DOSE;7877
COSMÓPOLIS;1° DOSE;51094
CORUMBATAÍ;1° DOSE;3739
CORONEL MACEDO;1° DOSE;4297
COROADOS;1° DOSE;4953
CORDEIRÓPOLIS;1° DOSE;22531
CONCHAS;1° DOSE;15222
CONCHAL;1° DOSE;26097
COLÔMBIA;1° DOSE;6245
COLINA;1° DOSE;16494
CLEMENTINA;1° DOSE;6461
CHAVANTES;1° DOSE;11030
CHARQUEADA;1° DOSE;14812
CESÁRIO LANGE;1° DOSE;17194
CERQUILHO;1° DOSE;41775
CERQUEIRA CÉSAR;1° DOSE;21301
CEDRAL;1° DOSE;9744
CATIGUÁ;1° DOSE;6715
CATANDUVA;1° DOSE;105259
CASTILHO;1° DOSE;18084
CÁSSIA DOS COQUEIROS;1° DOSE;2598
CASA BRANCA;1° DOSE;26281
CARDOSO;1° DOSE;11015
CARAPICUÍBA;1° DOSE;365940
CARAGUATATUBA;1° DOSE;117067
CAPIVARI;1° DOSE;45901
CAPELA DO ALTO;1° DOSE;21592
CAPÃO BONITO;1° DOSE;42460
CANITAR;1° DOSE;4720
CÂNDIDO RODRIGUES;1° DOSE;2692
CÂNDIDO MOTA;1° DOSE;26902
CANAS;1° DOSE;4088
CANANÉIA;1° DOSE;11888
CAMPOS NOVOS PAULISTA;1° DOSE;4347
CAMPOS DO JORDÃO;1° DOSE;46680
CAMPO LIMPO PAULISTA;1° DOSE;71352
CAMPINAS;1° DOSE;1053582
CAMPINA DO MONTE ALEGRE;1° DOSE;5777
CAJURU;1° DOSE;22309
CAJOBI;1° DOSE;8597
CAJATI;1° DOSE;26480
CAJAMAR;1° DOSE;83035
CAIUÁ;1° DOSE;6931
CAIEIRAS;1° DOSE;85324
CAIABU;1° DOSE;3482
CAFELÂNDIA;1° DOSE;15122
CACONDE;1° DOSE;16735
CACHOEIRA PAULISTA;1° DOSE;27207
CAÇAPAVA;1° DOSE;85235
CABREÚVA;1° DOSE;46118
CABRÁLIA PAULISTA;1° DOSE;3961
BURITIZAL;1° DOSE;3829
BURITAMA;1° DOSE;15513
BURI;1° DOSE;18473
BROTAS;1° DOSE;21730
BRODOWSKI;1° DOSE;22658
BREJO ALEGRE;1° DOSE;2417
BRAÚNA;1° DOSE;4867
BRAGANÇA PAULISTA;1° DOSE;166159
BOTUCATU;1° DOSE;150970
BOREBI;1° DOSE;2364
BORBOREMA;1° DOSE;13392
BORACÉIA;1° DOSE;4433
BORÁ;1° DOSE;910
BOM SUCESSO DE ITARARÉ;1° DOSE;3525
BOM JESUS DOS PERDÕES;1° DOSE;22339
BOITUVA;1° DOSE;53969
BOFETE;1° DOSE;9807
BOCAINA;1° DOSE;10150
BOA ESPERANÇA DO SUL;1° DOSE;12245
BIRITIBA MIRIM;1° DOSE;27372
BIRIGUI;1° DOSE;104639
BILAC;1° DOSE;6864
BERTIOGA;1° DOSE;63638
BERNARDINO DE CAMPOS;1° DOSE;11294
BENTO DE ABREU;1° DOSE;2348
BEBEDOURO;1° DOSE;69222
BAURU;1° DOSE;344775
BATATAIS;1° DOSE;54898
BASTOS;1° DOSE;20428
BARUERI;1° DOSE;270479
BARRINHA;1° DOSE;27924
BARRETOS;1° DOSE;114355
BARRA DO TURVO;1° DOSE;7010
BARRA DO CHAPÉU;1° DOSE;5024
BARRA BONITA;1° DOSE;31630
BARIRI;1° DOSE;27771
BARBOSA;1° DOSE;5913
BARÃO DE ANTONINA;1° DOSE;3301
BANANAL;1° DOSE;9366
BÁLSAMO;1° DOSE;8272
BALBINOS;1° DOSE;4721
BADY BASSITT;1° DOSE;18977
AVARÉ;1° DOSE;84889
AVANHANDAVA;1° DOSE;10706
AVAÍ;1° DOSE;4816
AURIFLAMA;1° DOSE;11982
ATIBAIA;1° DOSE;141599
ASSIS;1° DOSE;90550
ASPÁSIA;1° DOSE;1782
ARUJÁ;1° DOSE;77940
ARTUR NOGUEIRA;1° DOSE;46236
ARIRANHA;1° DOSE;7247
AREIÓPOLIS;1° DOSE;8771
AREIAS;1° DOSE;3464
AREALVA;1° DOSE;7654
ARCO-ÍRIS;1° DOSE;1920
ARARAS;1° DOSE;118379
ARARAQUARA;1° DOSE;219933
ARAPEÍ;1° DOSE;2241
ARANDU;1° DOSE;6084
ARAMINA;1° DOSE;4933
ARAÇOIABA DA SERRA;1° DOSE;29931
ARAÇATUBA;1° DOSE;179593
ARAÇARIGUAMA;1° DOSE;20079
APIAÍ;1° DOSE;22419
APARECIDA D'OESTE;1° DOSE;4078
APARECIDA;1° DOSE;30597
ANHUMAS;1° DOSE;3625
ANHEMBI;1° DOSE;5823
ANGATUBA;1° DOSE;21461
ANDRADINA;1° DOSE;51948
ANALÂNDIA;1° DOSE;4104
AMPARO;1° DOSE;65194
AMÉRICO DE CAMPOS;1° DOSE;5282
AMÉRICO BRASILIENSE;1° DOSE;31660
AMERICANA;1° DOSE;207188
ALVINLÂNDIA;1° DOSE;2721
ÁLVARO DE CARVALHO;1° DOSE;5872
ÁLVARES MACHADO;1° DOSE;22087
ÁLVARES FLORENCE;1° DOSE;3676
ALUMÍNIO;1° DOSE;15740
ALTO ALEGRE;1° DOSE;3632
ALTINÓPOLIS;1° DOSE;15194
ALTAIR;1° DOSE;3220
ALFREDO MARCONDES;1° DOSE;4252
ALAMBARI;1° DOSE;5210
AGUDOS;1° DOSE;35391
ÁGUAS DE SÃO PEDRO;1° DOSE;3809
ÁGUAS DE SANTA BÁRBARA;1° DOSE;5932
ÁGUAS DE LINDÓIA;1° DOSE;17582
ÁGUAS DA PRATA;1° DOSE;7180
AGUAÍ;1° DOSE;30666
ADOLFO;1° DOSE;4192
ADAMANTINA;1° DOSE;31793
